Date	Open	High	Low	Close	Adj Close	Volume
11/10/10	2.715	2.783	2.648	2.648	2.648	0
11/11/10	2.648	2.648	2.648	2.648	2.648	0
11/12/10	2.672	2.776	2.666	2.756	2.756	0
11/15/10	2.891	2.911	2.813	2.911	2.911	0
11/16/10	2.919	2.963	2.845	2.847	2.847	0
11/17/10	2.86	2.878	2.802	2.864	2.864	0
11/18/10	2.923	2.96	2.899	2.902	2.902	0
11/19/10	2.881	2.91	2.868	2.875	2.875	0
11/22/10	2.84	2.848	2.798	2.813	2.813	0
11/23/10	2.747	2.787	2.728	2.762	2.762	0
11/24/10	2.808	2.93	2.808	2.914	2.914	0
11/26/10	2.864	2.896	2.841	2.864	2.864	0
11/29/10	2.837	2.855	2.811	2.822	2.822	0
11/30/10	2.773	2.806	2.751	2.797	2.797	0
12/1/10	2.903	2.983	2.89	2.964	2.964	0
12/2/10	3.024	3.024	2.942	3	3	0
12/3/10	3.033	3.062	2.903	3.017	3.017	0
12/6/10	2.965	2.981	2.937	2.941	2.941	0
12/7/10	3.026	3.177	3.019	3.165	3.165	0
12/8/10	3.221	3.33	3.173	3.236	3.236	0
12/9/10	3.246	3.278	3.179	3.223	3.223	0
12/10/10	3.235	3.298	3.233	3.296	3.296	0
12/13/10	3.366	3.371	3.25	3.283	3.283	0
12/14/10	3.315	3.467	3.3	3.455	3.455	0
12/15/10	3.407	3.563	3.397	3.52	3.52	0
12/16/10	3.514	3.566	3.459	3.477	3.477	0
12/17/10	3.386	3.423	3.328	3.33	3.33	0
12/20/10	3.288	3.371	3.249	3.349	3.349	0
12/21/10	3.319	3.381	3.301	3.326	3.326	0
12/22/10	3.33	3.365	3.303	3.346	3.346	0
12/23/10	3.379	3.407	3.354	3.393	3.393	0
12/27/10	3.424	3.428	3.349	3.351	3.351	0
12/28/10	3.341	3.487	3.326	3.481	3.481	0
12/29/10	3.484	3.493	3.337	3.341	3.341	0
12/30/10	3.384	3.421	3.355	3.369	3.369	0
12/31/10	3.324	3.363	3.282	3.305	3.305	0
1/3/11	3.377	3.42	3.313	3.342	3.342	0
1/4/11	3.338	3.362	3.302	3.346	3.346	0
1/5/11	3.381	3.497	3.379	3.483	3.483	0
1/6/11	3.442	3.46	3.393	3.419	3.419	0
1/7/11	3.435	3.464	3.297	3.328	3.328	0
