Week,temp,part,cmort
1,72.38,72.72,97.85
2,67.19,49.6,104.64
3,62.94,55.68,94.36
4,72.49,55.16,98.05
5,74.25,66.02,95.85
6,67.88,44.01,95.98
7,74.2,47.83,88.63
8,74.88,43.6,90.85
9,64.17,24.99,92.06
10,67.09,40.41,88.75
11,78.29,51.93,94.6
12,68.07,32.26,92.86
13,86.7,73.65,98.02
14,69.43,30.15,87.64
15,75.22,41.1,97.4
16,77.29,41.53,83.24
17,69.96,29.46,86.6
18,79.35,51.13,90.69
19,82.94,41.37,82.86
20,89.79,59.49,99.06
21,80.19,48.25,81
22,87.58,51.73,93.18
23,81.76,44.21,86.86
24,86.79,59.59,89.35
25,87.46,60.82,87.13
26,88.21,55.01,88.39
27,83.4,50.59,85.38
28,86.1,55.05,83.96
29,82.16,48,84.95
30,81.31,55.37,86.81
31,78.99,64.44,85.25
32,92.56,75,94.72
33,84.5,61.46,90.96
34,76.44,50.04,87.73
35,73.97,49.9,92.58
36,69.63,51.14,87.02
37,81.05,77.88,92.68
38,69.57,46.71,97.95
39,78.05,73.86,94.19
40,70.61,76.87,93.95
41,60.95,39.85,92.29
42,67.74,71.52,93.48
43,68.5,63.87,97.41
44,54.84,48.81,96.98
45,60.58,68.82,106.6
46,62.14,64.39,112.41
47,51.26,81.76,118.59
48,72.55,73.55,107.9
49,64.42,67.99,111.82
50,78.25,75.37,102.78
51,59.17,65.23,100.63
52,80.89,69.91,106.54
53,58.63,44.34,105.39
54,62.5,40.8,104.99
55,67.52,55.09,102.72
56,63.56,38.44,104.67
57,74.87,53.54,103.3
58,64.98,42.46,98.46
59,82.7,53.22,100.78
60,72.63,44.41,94.43
61,65.36,31.29,92.16
62,63.33,31.1,92.13
63,66.1,35.92,95.04
64,64.85,37.73,86.88
65,76.37,35,95.29
66,75.27,36.25,85.39
67,65.15,22.75,92.63
68,69.62,32.26,88.72
69,72.81,34.77,87.09
70,85.57,52.73,83.92
71,78.58,36.59,89.01
72,77.32,30.04,78.14
73,87.27,49.91,92.84
74,86.29,42.6,88.65
75,83.55,35.89,86.66
76,88.57,41.76,82.04
77,95.34,47.03,105.15
78,88.18,36.62,94.19
79,82.71,31.4,83.99
80,89.8,46.76,88.22
81,81.63,30.6,85.59
82,98.95,60.58,99.21
83,82.58,33.3,87.77
84,79.74,50.08,90.39
85,77.31,46.99,82.25
86,99.88,73.07,102.92
87,69.19,50.28,86.84
88,76.29,71.6,97.22
89,64.28,50.09,94.97
90,78.61,82.85,104.86
91,65.87,58.36,80.53
92,68.18,62.63,102.47
93,65.98,71.27,97.8
94,63.95,50.85,95.28
95,57.65,65.13,105.64
96,64.27,74.74,106.44
97,55.18,39.59,110.65
98,63.52,69.67,114.41
99,63.95,84.23,115.98
100,69.91,84.96,112.72
101,58.9,67.68,115.99
102,65.25,58.62,104.14
103,62.79,57.02,109.3
104,71.43,64.58,111.47
105,68.72,63.25,102.67
106,66.96,56.92,101.34
107,75.68,46.59,94.97
108,68.57,49.2,90.48
109,68.62,48.55,93.7
110,69.61,39.16,81.87
111,71.89,43.59,91.12
112,73.66,43.26,90.55
113,70.67,35.86,89.62
114,69.9,40.4,91.63
115,80.23,44.84,89.22
116,67.16,28.72,84.81
117,81.71,44.4,95
118,66.2,24.24,83.77
119,80.79,37.13,98.26
120,84.12,38.01,82.87
121,75.52,32.22,85.51
122,81.55,32.86,84.67
123,75.88,25.83,84.45
124,82.45,37.95,93.96
125,84.86,36.93,82.47
126,84.93,34.03,89.18
127,79.73,27.68,87.33
128,97.2,52.62,92.67
129,85.97,36.51,93.83
130,82,33.53,86.65
131,81.95,39.94,89.35
132,83.56,36.85,77.97
133,86.14,38.93,86.06
134,77.63,24.55,83.34
135,77.19,48.89,87.35
136,82.16,48.69,90.58
137,78.57,42.71,84.72
138,78.92,42.34,88.32
139,74.47,50.98,82.62
140,71.01,56.67,92.52
141,72.2,61.51,86.73
142,72.59,73.11,99.54
143,65.8,57.48,95.5
144,64.16,56.63,92.34
145,73.18,67.47,97.49
146,74.71,71.64,97.9
147,50.91,54.52,97.54
148,66.46,74.98,103.78
149,75.48,74.95,110.17
150,67.78,57.3,116.04
151,56.68,71.59,132.04
152,70.08,69.8,126.95
153,58.58,47.92,121.11
154,67.7,63.78,119.3
155,63.88,59.76,118.2
156,59.07,40.04,102.36
157,68.55,47.44,98.44
158,68.35,42.77,97.87
159,65.6,41.51,92.98
160,58.75,31.86,96.16
161,65.67,41.68,86.83
162,59.85,29.07,91.09
163,63.95,30.83,92.5
164,77.14,44.48,90.64
165,66.59,38.35,80.69
166,72.86,30.98,99.91
167,67.87,37.46,89.09
168,73.61,39.57,94.25
169,71.45,40.28,93.33
170,69.97,31.64,84.08
171,78.49,36.16,86.37
172,72.52,26.97,86.61
173,84.84,45.76,82.47
174,72.97,28.17,82.73
175,96.23,47.48,98.29
176,81.68,37.47,87.02
177,83.17,38.23,91.13
178,79.42,30.47,80.23
179,78.64,32.5,81.36
180,86.44,42.1,82.8
181,82.08,33.92,87.24
182,80.73,30.54,79.37
183,87.68,45.7,86.83
184,81.44,37.03,82
185,77.34,30.5,77.96
186,75.18,33.47,79.69
187,75.85,36.95,87.32
188,74.24,41.08,85.33
189,87.78,56.16,92.02
190,69.09,41.31,84.03
191,82.08,66.01,83.45
192,79.84,56.46,82.35
193,82.8,62.06,89.17
194,73.56,54.2,82.24
195,73.74,73.04,93.35
196,63.94,45.54,89.16
197,63.08,53.33,95.13
198,64.79,67.77,89.1
199,75.45,75.61,100.32
200,67.12,71.46,95.61
201,69.12,63.29,99.61
202,61.56,62.04,105.82
203,51.22,38.94,104.2
204,64.28,63.31,95.45
205,65.41,67.74,90.48
206,65.45,73.76,93.58
207,65.68,70.13,91.71
208,72.25,65.87,95.29
209,63.18,53.98,94.69
210,71.55,52.55,102.5
211,67.3,47.86,98.58
212,59.64,46.35,107.12
213,73.43,63.72,99.29
214,61.91,30.78,96.85
215,64.85,30.02,89.02
216,74.43,38.49,96.27
217,74.39,42.06,97.55
218,70.8,37.61,85.16
219,72.49,40.2,94.77
220,70.06,29.69,85.45
221,70.25,29.53,97.46
222,66.51,25.86,83.31
223,83.11,38.95,91.41
224,71.29,25.7,88.84
225,75.49,27.84,86.44
226,80.98,35.82,82.08
227,83.52,35.45,83.63
228,88.27,42.62,95.22
229,77.88,25.63,80.28
230,82.23,33.96,85.59
