Date,Open,High,Low,Close,Adj Close,Volume
11/18/13,null,null,null,null,null,null
11/25/13,10.2,10.28,9.86,10.16,5.812679,77369900
12/2/13,10.18,10.18,9.66,9.74,5.572392,73844200
12/9/13,9.7,10.28,9.69,9.94,5.686815,65017500
12/16/13,9.94,10.38,9.79,10.1,5.778354,108105500
12/23/13,10.11,10.3,9.81,9.83,5.623882,52552600
12/30/13,9.82,10.14,9.72,10,5.895922,65043600
1/6/14,10.03,10.28,9.97,10.24,6.037425,63756100
1/13/14,10.25,10.45,10.11,10.2,6.01384,42784400
1/20/14,10.21,10.68,10.21,10.54,6.214303,42342100
1/27/14,10.53,10.83,10.38,10.77,6.349909,54230500
2/3/14,10.79,11.12,10.7,10.9,6.426555,70081600
2/10/14,10.93,10.96,10.72,10.8,6.367596,45605800
2/17/14,10.79,11.04,10.73,10.74,6.332221,32355900
2/24/14,10.77,11.3,10.75,11.18,6.591641,61177800
3/3/14,11.19,11.32,10.91,10.96,6.461931,57669200
3/10/14,10.99,11.4,10.97,11.33,6.680079,41871100
3/17/14,11.35,11.51,11.01,11.48,6.768517,88544700
3/24/14,11.44,11.46,10.9,10.93,6.444243,66277200
3/31/14,10.92,11.07,10.78,11.04,6.686943,52138600
4/7/14,11.01,11.49,11.01,11.46,6.941337,52038800
4/14/14,11.44,11.48,11.18,11.25,6.814141,37958800
4/21/14,11.25,11.59,11.23,11.55,6.995851,41111300
4/28/14,11.53,11.7,11.3,11.54,6.989793,50254300
5/5/14,11.56,11.87,11.27,11.62,7.038251,57965700
5/12/14,11.61,11.76,11.2,11.69,7.080648,40509900
5/19/14,11.69,11.78,11.64,11.76,7.123048,30354900
5/26/14,11.78,11.82,11.67,11.79,7.141217,35242900
6/2/14,11.8,11.85,11.45,11.63,7.044307,40914300
6/9/14,11.63,11.67,11.45,11.64,7.050364,30009600
6/16/14,11.63,11.65,11.42,11.65,7.056419,41465800
6/23/14,11.66,11.79,11.4,11.42,6.917109,47837600
6/30/14,11.44,11.49,11.02,11.06,6.874426,38183600
7/7/14,11.07,11.27,10.97,11.17,6.942796,35046900
7/14/14,11.15,11.26,11.14,11.25,6.992522,28024600
7/21/14,11.25,11.34,11.23,11.33,7.042245,15850800
7/28/14,11.33,11.52,11.08,11.19,6.955227,31584700
8/4/14,11.25,11.5,11.16,11.45,7.116831,33889700
8/11/14,11.44,11.77,11.41,11.76,7.309514,34560200
8/18/14,11.77,11.95,11.69,11.77,7.315732,45214500
8/25/14,11.79,11.91,11.78,11.9,7.396533,24575300
9/1/14,11.91,11.92,11.7,11.82,7.346808,34434600
9/8/14,11.81,11.85,11.36,11.38,7.073324,42504000
9/15/14,11.38,11.5,11.16,11.31,7.029814,48116700
9/22/14,11.34,11.39,10.94,11.22,6.973873,41716700
9/29/14,10.9,11,10.66,10.79,6.706603,53755500
10/6/14,10.79,11.34,10.78,11.18,7.139918,52552800
10/13/14,11.2,11.5,11.09,11.2,7.152691,50204700
10/20/14,11.19,11.41,11.15,11.36,7.254872,25782100
10/27/14,11.35,11.47,11.19,11.41,7.286803,33292700
11/3/14,11.39,11.49,11.21,11.28,7.203783,31621800
11/10/14,11.24,11.44,11.24,11.44,7.305962,22080600
11/17/14,11.4,11.54,11.4,11.5,7.344282,20404200
11/24/14,11.51,11.58,11.46,11.52,7.357054,17824900
12/1/14,11.52,11.65,11.39,11.45,7.31235,29403700
12/8/14,11.45,11.52,11.27,11.41,7.286803,36287100
12/15/14,11.42,11.42,11.06,11.33,7.235713,45469900
12/22/14,11.34,11.4,11.12,11.34,7.2421,22937800
12/29/14,11.04,11.15,10.8,11.04,7.05051,34453700
1/5/15,10.98,11.01,10.79,10.81,7.091224,33666500
1/12/15,10.8,10.85,10.47,10.61,6.960026,40689200
1/19/15,10.62,10.71,10.36,10.55,6.920666,37296100
1/26/15,10.55,10.71,10.4,10.56,6.927227,39801500
2/2/15,10.54,10.61,10.37,10.5,6.887867,43329600
2/9/15,10.5,10.72,10.48,10.69,7.012504,30376700
2/16/15,10.64,10.81,10.55,10.72,7.032185,23406000
2/23/15,10.72,10.83,10.54,10.62,6.966585,37980700
3/2/15,10.62,10.71,10.39,10.43,6.841946,36237100
3/9/15,10.43,10.55,10.29,10.5,6.887867,37982300
3/16/15,10.47,10.84,10.47,10.74,7.045304,51255700
3/23/15,10.74,10.93,10.47,10.53,6.907547,43271700
3/30/15,10.53,10.57,10.39,10.45,7.050555,31530000
4/6/15,10.45,10.55,10.34,10.4,7.016819,39797700
4/13/15,10.39,10.42,10.21,10.29,6.942603,36601500
4/20/15,10.3,10.35,10.23,10.25,6.915615,24771000
4/27/15,10.23,10.26,10.01,10.12,6.827905,50755700
5/4/15,10.1,10.17,9.75,10.1,6.814411,50334600
5/11/15,10.07,10.2,9.99,10.18,6.868387,31844600
5/18/15,10.15,10.27,10.14,10.25,6.915615,35328100
5/25/15,10.25,10.44,10.21,10.44,7.043807,59680500
6/1/15,10.45,10.46,9.92,9.94,6.70646,57999800
6/8/15,9.93,9.99,9.79,9.93,6.699714,45884300
6/15/15,9.92,10.04,9.8,9.89,6.672727,53141000
6/22/15,9.93,9.98,9.3,9.31,6.281404,37519900
6/29/15,9.26,9.38,9.17,9.35,6.508235,37783700
7/6/15,9.32,9.7,9.31,9.51,6.619604,48852100
7/13/15,9.5,9.82,9.46,9.78,6.807544,52519700
7/20/15,9.78,9.87,9.57,9.57,6.661369,45534100
7/27/15,9.56,10.08,9.52,9.95,6.925874,41528700
8/3/15,9.96,10.13,9.86,10.08,7.016363,55798700
8/10/15,10.09,10.41,10.03,10.39,7.232144,74837800
8/17/15,10.38,10.53,10.26,10.26,7.141656,80168000
8/24/15,9.87,10.29,9.72,10.17,7.07901,60620300
8/31/15,10.17,10.24,9.96,10.1,7.030285,36002800
9/7/15,10.2,10.25,9.92,10.09,7.023324,28987400
9/14/15,10.11,10.52,10.07,10.37,7.218224,43755800
9/21/15,10.38,10.59,10.38,10.42,7.253027,47309300
9/28/15,10.09,10.1,9.69,10.01,6.96764,52239900
10/5/15,10,10.28,10,10.21,7.317531,36786800
10/12/15,10.24,10.35,10.1,10.14,7.267362,33895700
10/19/15,10.14,10.28,10.11,10.18,7.296029,27311100
10/26/15,10.21,10.24,9.81,9.95,7.131186,45388300
11/2/15,9.95,10.04,9.42,9.51,6.815837,48620800
11/9/15,9.47,9.64,9.45,9.57,6.85884,30492600
11/16/15,9.57,9.67,9.5,9.54,6.83734,30163300
11/23/15,9.55,9.7,9.5,9.68,6.937678,16613400
11/30/15,9.67,9.68,9.46,9.5,6.808672,34167700
12/7/15,9.48,9.51,9.19,9.22,6.607996,27664200
12/14/15,9.21,9.52,8.98,9.49,6.801504,45053200
12/21/15,9.52,9.81,9.45,9.75,6.987846,24438200
12/28/15,9.76,9.77,9.33,9.38,6.722667,30928900
1/4/16,9.32,9.69,9.29,9.41,6.958268,36600500
1/11/16,9.38,9.45,8.7,8.96,6.625513,52601000
1/18/16,8.97,9.04,8.25,9.01,6.662487,58591300
1/25/16,9.03,9.51,8.88,9.5,7.02482,50111200
2/1/16,9.49,9.85,9.42,9.73,7.194895,46630500
2/8/16,9.71,9.85,9.52,9.73,7.194895,36377100
2/15/16,9.77,9.98,9.71,9.92,7.335389,31075800
2/22/16,9.97,10.28,9.92,10.18,7.52765,50698300
2/29/16,10.2,10.36,10.07,10.28,7.601593,43074600
3/7/16,10.3,10.36,10.12,10.35,7.653356,33558400
3/14/16,10.29,10.47,10.15,10.41,7.697723,40413600
3/21/16,10.41,10.48,10.3,10.44,7.719907,25680300
3/28/16,10.45,10.47,9.98,10.34,7.64596,51206700
4/4/16,10.33,10.42,10.22,10.41,7.926142,33048300
4/11/16,10.16,10.45,10.16,10.41,7.926142,67314400
4/18/16,10.4,10.49,10.22,10.23,7.789091,32863800
4/25/16,10.23,10.46,10.22,10.42,7.933756,33655100
5/2/16,10.43,10.85,10.25,10.85,8.261157,48933200
5/9/16,10.88,11.13,10.82,11.05,8.413438,45155700
5/16/16,11.03,11.12,10.64,10.92,8.314455,44728700
5/23/16,10.96,11,10.6,10.61,8.078421,61410500
5/30/16,10.62,10.88,10.55,10.81,8.230701,41089100
6/6/16,10.83,10.83,10.73,10.8,8.223087,47073200
6/13/16,10.8,10.81,10.57,10.58,8.05558,61756300
6/20/16,10.6,11.03,10.58,10.89,8.291612,51712400
6/27/16,10.91,11.09,10.61,10.98,8.360138,70604000
7/4/16,10.96,11.04,10.74,10.79,8.446895,35156000
7/11/16,10.79,10.91,10.58,10.65,8.364497,73128000
7/18/16,10.65,10.92,10.58,10.9,8.560846,39141100
7/25/16,10.9,11.06,10.79,10.98,8.623677,52734600
8/1/16,10.98,11.13,10.81,11.11,8.725781,41825100
8/8/16,11.09,11.29,11.02,11.08,8.702219,34829100
8/15/16,11.06,11.09,10.73,10.94,8.592264,48423700
8/22/16,10.93,10.97,10.76,10.78,8.466599,28049500
8/29/16,10.8,10.89,10.6,10.89,8.552993,34600500
9/5/16,10.9,11.05,10.46,10.46,8.215272,33870900
9/12/16,10.41,10.71,10.33,10.47,8.223126,48530500
9/19/16,10.47,10.84,10.47,10.79,8.474453,39298200
9/26/16,10.79,10.96,10.36,10.5,8.246687,45047000
10/3/16,10.47,10.47,9.88,10.02,8.065315,52840100
10/10/16,10.05,10.27,10,10.15,8.169955,21415700
10/17/16,10.15,10.19,10.07,10.08,8.11361,22337600
10/24/16,10.11,10.43,10.08,10.22,8.2263,31812400
10/31/16,10.28,10.39,10.14,10.3,8.290694,37243600
11/7/16,10.35,10.43,9.95,10.09,8.121661,44268400
11/14/16,10.1,10.16,9.95,10,8.049216,30798400
11/21/16,10.03,10.2,10.02,10.1,8.129708,19993900
11/28/16,10.11,10.37,9.91,9.95,8.008971,37152500
12/5/16,9.98,10.5,9.95,10.48,8.435579,35460000
