Month,Price
Aug-18,2.17
Jul-18,2.173
Jun-18,2.257
May-18,2.218
Apr-18,2.088
Mar-18,1.901
Feb-18,1.95
Jan-18,1.986
Dec-17,1.882
Nov-17,1.811
Oct-17,1.733
Sep-17,1.81
Aug-17,1.606
Jul-17,1.432
Jun-17,1.451
May-17,1.5
Apr-17,1.622
Mar-17,1.551
Feb-17,1.621
Jan-17,1.573
Dec-16,1.53
Nov-16,1.404
Oct-16,1.51
Sep-16,1.413
Aug-16,1.316
Jul-16,1.38
Jun-16,1.453
May-16,1.341
Apr-16,1.169
Mar-16,1.11
Feb-16,1.008
Jan-16,1.028
Dec-15,1.197
Nov-15,1.413
Oct-15,1.454
Sep-15,1.452
Aug-15,1.493
Jul-15,1.655
Jun-15,1.827
May-15,1.914
Apr-15,1.732
Mar-15,1.724
Feb-15,1.75
Jan-15,1.601
Dec-14,1.989
Nov-14,2.406
Oct-14,2.591
Sep-14,2.831
Aug-14,2.901
Jul-14,2.869
Jun-14,2.906
May-14,2.913
Apr-14,2.909
Mar-14,2.939
Feb-14,2.983
Jan-14,2.958
Dec-13,2.965
Nov-13,2.857
Oct-13,2.914
Sep-13,3.021
Aug-13,3.007
Jul-13,2.905
Jun-13,2.797
May-13,2.762
Apr-13,2.9
Mar-13,3.046
Feb-13,3.258
Jan-13,3.108
Dec-12,2.979
Nov-12,3.002
Oct-12,3.175
Sep-12,3.25
Aug-12,3.123
Jul-12,2.865
Jun-12,2.75
May-12,3.057
Apr-12,3.261
Mar-12,3.299
Feb-12,3.194
Jan-12,3.078
Dec-11,2.925
Nov-11,3.099
Oct-11,2.958
Sep-11,3.031
Aug-11,3.066
Jul-11,3.11
Jun-11,3.131
May-11,3.178
Apr-11,3.269
Mar-11,3.141
Feb-11,2.829
Jan-11,2.626
Dec-10,2.46
Nov-10,2.349
Oct-10,2.271
Sep-10,2.115
Aug-10,2.136
Jul-10,2.067
Jun-10,2.076
May-10,2.167
Apr-10,2.254
Mar-10,2.125
Feb-10,2.005
Jan-10,2.121
Dec-09,2.006
Nov-09,2.028
Oct-09,1.924
Sep-09,1.808
Aug-09,1.902
Jul-09,1.753
Jun-09,1.807
May-09,1.47
Apr-09,1.437
Mar-09,1.259
Feb-09,1.355
Jan-09,1.489
Dec-08,1.531
Nov-08,1.994
Oct-08,2.622
Sep-08,3.399
Aug-08,3.392
Jul-08,4.017
Jun-08,3.9
May-08,3.639
Apr-08,3.304
Mar-08,3.108
Feb-08,2.697
Jan-08,2.666
Dec-07,2.652
Nov-07,2.669
Oct-07,2.362
Sep-07,2.245
Aug-07,2.112
Jul-07,2.153
Jun-07,2.087
May-07,2.072
Apr-07,2.022
Mar-07,1.845
Feb-07,1.746
Jan-07,1.687
Dec-06,1.861
Nov-06,1.745
Oct-06,1.792
Sep-06,1.914
Aug-06,2.188
Jul-06,2.132
Jun-06,2.119
May-06,2.119
Apr-06,2.074
Mar-06,1.864
Feb-06,1.827
Jan-06,1.82
Dec-05,1.723
Nov-05,1.805
Oct-05,2.591
Sep-05,2.224
Aug-05,1.805
Jul-05,1.686
Jun-05,1.62
May-05,1.51
Apr-05,1.606
Mar-05,1.555
Feb-05,1.355
Jan-05,1.3
Dec-04,1.277
Nov-04,1.397
Oct-04,1.524
Sep-04,1.307
Aug-04,1.232
Jul-04,1.129
Jun-04,1.043
May-04,1.093
Apr-04,0.972
Mar-04,0.972
Feb-04,0.958
Jan-04,0.967
Dec-03,0.876
Nov-03,0.834
Oct-03,0.82
Sep-03,0.778
Aug-03,0.821
Jul-03,0.786
Jun-03,0.749
May-03,0.73
Apr-03,0.77
Mar-03,1.01
Feb-03,1.003
Jan-03,0.892
Dec-02,0.781
Nov-02,0.724
Oct-02,0.823
Sep-02,0.792
Aug-02,0.72
Jul-02,0.685
Jun-02,0.658
May-02,0.683
Apr-02,0.672
Mar-02,0.609
Feb-02,0.555
Jan-02,0.544
Dec-01,0.537
Nov-01,0.599
Oct-01,0.634
Sep-01,0.784
Aug-01,0.756
Jul-01,0.735
Jun-01,0.802
May-01,0.815
Apr-01,0.766
Mar-01,0.77
Feb-01,0.846
Jan-01,0.851
Dec-00,0.95
Nov-00,1.016
Oct-00,0.981
Sep-00,1.01
Aug-00,0.848
Jul-00,0.794
Jun-00,0.775
May-00,0.744
Apr-00,0.717
Mar-00,0.77
Feb-00,0.766
Jan-00,0.752
Dec-99,0.694
Nov-99,0.639
Oct-99,0.602
Sep-99,0.605
Aug-99,0.558
Jul-99,0.508
Jun-99,0.441
May-99,0.428
Apr-99,0.445
Mar-99,0.369
Feb-99,0.335
Jan-99,0.351
Dec-98,0.338
Nov-98,0.408
Oct-98,0.442
Sep-98,0.423
Aug-98,0.399
Jul-98,0.412
Jun-98,0.408
May-98,0.439
Apr-98,0.441
Mar-98,0.431
Feb-98,0.478
Jan-98,0.491
Dec-97,0.519
Nov-97,0.568
Oct-97,0.583
Sep-97,0.551
Aug-97,0.563
Jul-97,0.545
Jun-97,0.543
May-97,0.557
Apr-97,0.561
Mar-97,0.577
Feb-97,0.654
Jan-97,0.695
Dec-96,0.71
Nov-96,0.7
Oct-96,0.714
Sep-96,0.676
Aug-96,0.607
Jul-96,0.557
Jun-96,0.544
May-96,0.571
Apr-96,0.614
Mar-96,0.572
Feb-96,0.541
Jan-96,0.567
Dec-95,0.551
Nov-95,0.529
Oct-95,0.51
Sep-95,0.522
Aug-95,0.504
Jul-95,0.481
Jun-95,0.505
May-95,0.522
Apr-95,0.499
Mar-95,0.47
Feb-95,0.485
Jan-95,0.492
Dec-94,0.503
Nov-94,0.529
Oct-94,0.513
Sep-94,0.511
Aug-94,0.518
Jul-94,0.515
Jun-94,0.492
May-94,0.475
Apr-94,0.475
Mar-94,0.471
Feb-94,0.525
Jan-94,0.5
Dec-93,0.472
Nov-93,0.552
Oct-93,0.575
Sep-93,0.532
Aug-93,0.505
Jul-93,0.511
Jun-93,0.548
May-93,0.565
Apr-93,0.563
Mar-93,0.568
Feb-93,0.553
Jan-93,0.551
Dec-92,0.557
Nov-92,0.596
Oct-92,0.639
Sep-92,0.622
Aug-92,0.611
Jul-92,0.62
Jun-92,0.614
May-92,0.576
Apr-92,0.542
Mar-92,0.53
Feb-92,0.545
Jan-92,0.519
Dec-91,0.587
Nov-91,0.677
Oct-91,0.662
Sep-91,0.643
Aug-91,0.615
Jul-91,0.578
Jun-91,0.566
May-91,0.57
Apr-91,0.563
Mar-91,0.583
Feb-91,0.711
Jan-91,0.792
Dec-90,0.905
Nov-90,1.043
Oct-90,1.138
Sep-90,0.891
Aug-90,0.683
Jul-90,0.518
Jun-90,0.517
May-90,0.543
Apr-90,0.564
Mar-90,0.591
Feb-90,0.65
Jan-90,0.791
Dec-89,0.663
Nov-89,0.608
Oct-89,0.605
Sep-89,0.563
Aug-89,0.517
Jul-89,0.515
Jun-89,0.517
May-89,0.542
Apr-89,0.565
Mar-89,0.538
Feb-89,0.553
Jan-89,0.554
Dec-88,0.491
Nov-88,0.456
Oct-88,0.438
Sep-88,0.461
Aug-88,0.468
Jul-88,0.469
Jun-88,0.491
May-88,0.495
Apr-88,0.489
Mar-88,0.505
Feb-88,0.516
Jan-88,0.537
Dec-87,0.561
Nov-87,0.573
Oct-87,0.567
Sep-87,0.555
Aug-87,0.564
Jul-87,0.54
Jun-87,0.512
May-87,0.507
Apr-87,0.484
Mar-87,0.475
Feb-87,0.463
Jan-87,0.434
Dec-86,0.403
Nov-86,0.391
Oct-86,0.384
Sep-86,0.389
Aug-86,0.38
Jul-86,0.386
Jun-86,0.441
May-86,0.443
Apr-86,0.51
Mar-86,0.638
Feb-86,0.72
Jan-86,0.771
Dec-85,0.777
Nov-85,0.776
Oct-85,0.756
Sep-85,0.747
Aug-85,0.741
Jul-85,0.752
Jun-85,0.757
May-85,0.768
Apr-85,0.773
Mar-85,0.773
Feb-85,0.778
Jan-85,0.784
Dec-84,0.81
Nov-84,0.794
Oct-84,0.804
Sep-84,0.803
