Month,Ridership,,,
Jan-91,1709,,,
Feb-91,1621,,,
Mar-91,1973,,,
Apr-91,1812,,,
May-91,1975,,,
Jun-91,1862,,,
Jul-91,1940,,,
Aug-91,2013,,,
Sep-91,1596,,,
Oct-91,1725,,,
Nov-91,1676,,,
Dec-91,1814,,,
Jan-92,1615,,,
Feb-92,1557,,,
Mar-92,1891,,,
Apr-92,1956,,,
May-92,1885,,,
Jun-92,1623,,,
Jul-92,1903,,,
Aug-92,1997,,,
Sep-92,1704,,,
Oct-92,1810,,,
Nov-92,1862,,,
Dec-92,1875,,,
Jan-93,1705,,,
Feb-93,1619,,,
Mar-93,1837,,,
Apr-93,1957,,,
May-93,1917,,,
Jun-93,1882,,,
Jul-93,1933,,,
Aug-93,1996,,,
Sep-93,1673,,,
Oct-93,1753,,,
Nov-93,1720,,,
Dec-93,1734,,,
Jan-94,1563,,,
Feb-94,1574,,,
Mar-94,1903,,,
Apr-94,1834,,,
May-94,1831,,,
Jun-94,1776,,,
Jul-94,1868,,,
Aug-94,1907,,,
Sep-94,1686,,,
Oct-94,1779,,,
Nov-94,1776,,,
Dec-94,1783,,,
Jan-95,1548,,,
Feb-95,1497,,,
Mar-95,1798,,,
Apr-95,1733,,,
May-95,1772,,,
Jun-95,1761,,,
Jul-95,1792,,,
Aug-95,1875,,,
Sep-95,1571,,,
Oct-95,1647,,,
Nov-95,1673,,,
Dec-95,1657,,,
Jan-96,1382,,,
Feb-96,1361,,,
Mar-96,1559,,,
Apr-96,1608,,,
May-96,1697,,,
Jun-96,1693,,,
Jul-96,1836,,,
Aug-96,1943,,,
Sep-96,1551,,,
Oct-96,1687,,,
Nov-96,1576,,,
Dec-96,1700,,,
Jan-97,1397,,,
Feb-97,1372,,,
Mar-97,1708,,,
Apr-97,1655,,,
May-97,1763,,,
Jun-97,1776,,,
Jul-97,1934,,,
Aug-97,2008,,,
Sep-97,1616,,,
Oct-97,1774,,,
Nov-97,1732,,,
Dec-97,1797,,,
Jan-98,1570,,,
Feb-98,1413,,,
Mar-98,1755,,,
Apr-98,1825,,,
May-98,1843,,,
Jun-98,1826,,,
Jul-98,1968,,,
Aug-98,1922,,,
Sep-98,1670,,,
Oct-98,1791,,,
Nov-98,1817,,,
Dec-98,1847,,,
Jan-99,1599,,,
Feb-99,1549,,,
Mar-99,1832,,,
Apr-99,1840,,,
May-99,1846,,,
Jun-99,1865,,,
Jul-99,1966,,,
Aug-99,1949,,,
Sep-99,1607,,,
Oct-99,1804,,,
Nov-99,1850,,,
Dec-99,1836,,,
Jan-00,1542,,,
Feb-00,1617,,,
Mar-00,1920,,,
Apr-00,1971,,,
May-00,1992,,,
Jun-00,2010,,,
Jul-00,2054,,,
Aug-00,2097,,,
Sep-00,1824,,,
Oct-00,1977,,,
Nov-00,1981,,,
Dec-00,2000,,,
Jan-01,1683,,,
Feb-01,1663,,,
Mar-01,2008,,,
Apr-01,2024,,,
May-01,2047,,,
Jun-01,2073,,,
Jul-01,2127,,,
Aug-01,2203,,,
Sep-01,1708,,,
Oct-01,1951,,,
Nov-01,1974,,,
Dec-01,1985,,,
Jan-02,1760,,,
Feb-02,1771,,,
Mar-02,2020,,,
Apr-02,2048,,,
May-02,2069,,,
Jun-02,1994,,,
Jul-02,2075,,,
Aug-02,2027,,,
Sep-02,1734,,,
Oct-02,1917,,,
Nov-02,1858,,,
Dec-02,1996,,,
Jan-03,1778,,,
Feb-03,1749,,,
Mar-03,2066,,,
Apr-03,2099,,,
May-03,2105,,,
Jun-03,2130,,,
Jul-03,2223,,,
Aug-03,2174,,,
Sep-03,1931,,,
Oct-03,2121,,,
Nov-03,2076,,,
Dec-03,2141,,,
Jan-04,1832,,,
Feb-04,1838,,,
Mar-04,2132,,,
