year, month,carrier,carrier_name,airport,airport_name,arr_flights,arr_del15,carrier_ct, weather_ct,nas_ct,security_ct,late_aircraft_ct,arr_cancelled,arr_diverted, arr_delay, carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay
2004,1,WN,Southwest Airlines Co.,DAL,"Dallas, TX: Dallas Love Field",3546,293,65.92,11.73,28.12,0,187.22,144,14,13120,2297,1742,986,0,8095
2004,2,WN,Southwest Airlines Co.,DAL,"Dallas, TX: Dallas Love Field",3392,496,80.3,16.74,77.22,1.6,320.14,138,6,22475,3158,1728,3751,49,13789
2004,3,WN,Southwest Airlines Co.,DAL,"Dallas, TX: Dallas Love Field",3674,491,87.26,6.35,65.8,0.19,331.4,86,4,20515,2949,603,2364,10,14589
2004,4,WN,Southwest Airlines Co.,DAL,"Dallas, TX: Dallas Love Field",3540,561,108.89,10.62,64.74,2.08,374.68,79,2,21990,4281,757,2158,57,14737
2004,5,WN,Southwest Airlines Co.,DAL,"Dallas, TX: Dallas Love Field",3513,595,100.62,31.59,72.92,0.72,389.16,112,8,35527,3803,4092,3526,14,24092
2004,6,WN,Southwest Airlines Co.,DAL,"Dallas, TX: Dallas Love Field",3559,1030,136.04,56.6,173.28,1.16,662.92,150,23,55436,5531,6149,8313,48,35395
2004,7,WN,Southwest Airlines Co.,DAL,"Dallas, TX: Dallas Love Field",3565,702,119.87,18.35,79.94,0.92,482.92,98,7,33230,4865,1937,3285,17,23126
2004,8,WN,Southwest Airlines Co.,DAL,"Dallas, TX: Dallas Love Field",3672,529,84.3,25.25,87.8,0.35,331.3,95,5,27633,3496,1905,4458,7,17767
2004,9,WN,Southwest Airlines Co.,DAL,"Dallas, TX: Dallas Love Field",3492,266,53.57,2.36,32.27,3.43,174.37,63,0,8968,1682,46,894,82,6264
2004,10,WN,Southwest Airlines Co.,DAL,"Dallas, TX: Dallas Love Field",3631,704,116.66,21.49,88.9,0.09,476.85,96,7,32832,4816,1661,3958,4,22393
2004,11,WN,Southwest Airlines Co.,DAL,"Dallas, TX: Dallas Love Field",3283,624,90.65,9.2,85.6,0.74,437.81,74,3,32451,3583,1034,3538,17,24279
2004,12,WN,Southwest Airlines Co.,DAL,"Dallas, TX: Dallas Love Field",3494,511,127.19,3.89,46.14,1.95,331.83,83,2,22603,5020,221,1924,91,15347
2005,1,WN,Southwest Airlines Co.,DAL,"Dallas, TX: Dallas Love Field",3462,420,77.95,7.17,51.2,4.34,279.34,119,6,19312,2901,726,2626,105,12954
2005,2,WN,Southwest Airlines Co.,DAL,"Dallas, TX: Dallas Love Field",3136,342,69.89,3.74,21.33,3.08,243.96,81,6,13047,2242,277,671,214,9643
2005,3,WN,Southwest Airlines Co.,DAL,"Dallas, TX: Dallas Love Field",3505,446,102.85,4.67,42.72,1.45,294.31,68,0,15767,3554,422,1355,71,10365
2005,4,WN,Southwest Airlines Co.,DAL,"Dallas, TX: Dallas Love Field",3191,295,59.97,7.95,50.87,1.69,174.53,43,0,10640,1950,438,1967,111,6174
2005,5,WN,Southwest Airlines Co.,DAL,"Dallas, TX: Dallas Love Field",3283,339,78.51,4.44,35.71,1.83,218.5,59,0,14835,2936,252,1430,31,10186
2005,6,WN,Southwest Airlines Co.,DAL,"Dallas, TX: Dallas Love Field",3211,343,90.44,7.61,28.69,1.26,215,57,2,13343,3808,297,815,37,8386
2005,7,WN,Southwest Airlines Co.,DAL,"Dallas, TX: Dallas Love Field",3180,733,119.24,30.92,93.75,0.67,488.42,75,13,41759,5561,2266,4563,10,29359
2005,8,WN,Southwest Airlines Co.,DAL,"Dallas, TX: Dallas Love Field",3319,713,122.13,24.66,80.89,1.5,483.83,132,12,33651,4897,1495,3247,30,23982
2005,9,WN,Southwest Airlines Co.,DAL,"Dallas, TX: Dallas Love Field",2979,388,92.62,11.21,37.6,2.42,244.14,98,9,20378,4162,987,2290,160,12779
2005,10,WN,Southwest Airlines Co.,DAL,"Dallas, TX: Dallas Love Field",3080,322,88.6,6.46,31.34,0,195.6,52,5,14612,3571,836,1785,0,8420
2005,11,WN,Southwest Airlines Co.,DAL,"Dallas, TX: Dallas Love Field",2970,372,97.64,2.59,29.09,0,242.68,51,4,14779,3304,147,1037,0,10291
2005,12,WN,Southwest Airlines Co.,DAL,"Dallas, TX: Dallas Love Field",3303,484,126.44,3.97,27.84,0,325.75,85,4,17714,3973,240,807,0,12694
2006,1,WN,Southwest Airlines Co.,DAL,"Dallas, TX: Dallas Love Field",3412,277,94.56,0.64,28,0.8,153,102,0,10348,3218,35,873,16,6206
2006,2,WN,Southwest Airlines Co.,DAL,"Dallas, TX: Dallas Love Field",3078,450,95.54,3.95,35.56,0,314.95,50,3,19869,3751,269,1217,0,14632
2006,3,WN,Southwest Airlines Co.,DAL,"Dallas, TX: Dallas Love Field",3452,650,120.2,18.05,87.83,1,422.92,55,4,35146,5804,1346,3691,17,24288
2006,4,WN,Southwest Airlines Co.,DAL,"Dallas, TX: Dallas Love Field",3321,476,97.45,12.03,50.61,3.02,312.89,45,3,19741,3715,737,1571,78,13640
2006,5,WN,Southwest Airlines Co.,DAL,"Dallas, TX: Dallas Love Field",3449,501,106.1,17.64,57.08,0.03,320.15,41,3,19245,3711,809,1728,2,12995
2006,6,WN,Southwest Airlines Co.,DAL,"Dallas, TX: Dallas Love Field",3376,573,116.08,8.42,44.54,0.04,403.92,66,3,24010,4668,469,1570,3,17300
2006,7,WN,Southwest Airlines Co.,DAL,"Dallas, TX: Dallas Love Field",3348,523,114.71,21.22,33.14,1,352.93,63,10,24266,4807,1224,1483,117,16635
2006,8,WN,Southwest Airlines Co.,DAL,"Dallas, TX: Dallas Love Field",3491,489,97.24,22.81,66.89,1.84,300.22,88,14,23433,3858,1686,3031,43,14815
