"","x"
"1",4250
"2",4400
"3",4350
"4",4500
"5",4550
"6",4500
"7",4050
"8",2250
"9",4450
"10",4650
"11",4700
"12",4350
"13",4450
"14",4500
"15",4400
"16",4350
"17",4350
"18",4450
"19",3850
"20",2400
"21",4350
"22",4350
"23",4300
"24",4150
"25",4100
"26",4400
"27",4250
"28",4300
"29",4200
"30",4300
"31",3900
"32",2250
"33",4300
"34",4500
"35",4400
"36",4250
"37",4300
"38",4350
"39",4450
"40",3700
"41",4300
"42",4500
"43",3750
"44",2500
"45",4400
"46",4500
"47",4500
"48",4400
"49",4450
"50",4650
"51",4750
"52",4700
"53",2900
"54",3600
"55",4050
"56",2600
"57",4600
"58",5000
"59",5100
"60",4850
"61",4950
"62",4950
"63",4950
"64",5050
"65",5250
"66",5200
"67",4150
"68",2750
"69",5000
"70",5150
"71",5350
"72",5150
"73",5400
"74",5600
"75",5400
"76",5450
"77",5500
"78",5200
"79",4350
"80",2700
"81",5100
"82",5200
"83",5300
"84",4850
"85",5200
"86",5250
"87",5250
"88",5100
"89",4950
"90",4750
"91",4000
"92",2900
"93",5050
"94",5250
"95",5100
"96",4950
"97",5050
"98",5150
"99",5200
"100",5250
"101",5350
"102",5200
"103",4100
"104",3100
"105",5200
"106",5300
"107",5400
"108",5200
"109",5350
"110",5600
"111",5600
"112",5500
"113",5600
"114",5700
"115",4400
"116",3250
"117",5400
"118",5600
"119",5800
"120",5500
"121",6000
"122",6200
"123",6050
"124",5950
"125",6300
"126",5800
"127",4950
"128",3550
"129",5950
"130",6000
"131",6000
"132",5400
"133",5300
"134",5250
"135",5050
"136",5050
"137",4350
"138",5050
"139",3600
"140",2750
"141",4800
"142",4600
"143",5000
"144",4450
